NGF	NDVI	NDRE	GNDVI	SAVI
13.00	0.861	0.485	0.776	0.772
15.00	0.861	0.523	0.776	0.773
35.40	0.832	0.319	0.782	0.655
31.20	0.832	0.313	0.782	0.677
32.80	0.832	0.318	0.782	0.652
32.60	0.832	0.321	0.782	0.685
21.00	0.880	0.526	0.791	0.776
20.00	0.876	0.522	0.791	0.791
22.00	0.871	0.510	0.791	0.791
25.00	0.884	0.505	0.790	0.792
29.00	0.817	0.320	0.776	0.655
36.00	0.817	0.310	0.773	0.683
29.80	0.811	0.314	0.770	0.654
33.60	0.809	0.320	0.769	0.652
11.00	0.880	0.521	0.769	0.784
16.00	0.880	0.516	0.769	0.784
15.00	0.880	0.508	0.769	0.784
11.00	0.880	0.513	0.769	0.782
